Brand,ID,Moisture,Protein,Fat,Carbohydrates,Sodium,Carbs,Calories
A,14069,27.82,21.43,44.87,5.11,1.77,0.77,4.93
A,14053,28.49,21.26,43.89,5.34,1.79,1.02,4.84
A,14025,28.35,19.99,45.78,5.08,1.63,0.8,4.95
A,14016,30.55,20.15,43.13,4.79,1.61,1.38,4.74
A,14005,30.49,21.28,41.65,4.82,1.64,1.76,4.67
A,14075,31.14,20.23,42.31,4.92,1.65,1.4,4.67
A,14082,31.21,20.97,41.34,4.71,1.58,1.77,4.63
A,14097,28.76,21.41,41.6,5.28,1.75,2.95,4.72
A,14117,28.22,20.48,45.1,5.02,1.71,1.18,4.93
A,14133,27.72,21.19,45.29,5.16,1.66,0.64,4.95
A,14101,27.35,21.2,45.59,4.94,1.65,0.92,4.98
A,14108,26.98,21.2,45.03,5.15,1.67,1.64,4.97
A,14164,28.7,20,45.12,4.93,1.56,1.25,4.91
A,14154,30.91,19.65,42.45,4.81,1.65,2.81,4.72
B,14015,49.57,13.7,29.07,3.62,1.1,4.04,3.33
B,14006,52.68,14.38,25.72,3.26,0.93,3.96,3.05
B,14024,48.53,13.14,30.38,3.55,0.99,4.4,3.44
B,14052,50.19,13.78,28.39,3.56,1,4.08,3.27
B,14062,50.67,13.21,27.66,3.64,1,4.82,3.21
B,14047,49.99,13.35,29.2,3.52,1.05,3.94,3.32
B,14074,50.72,12.93,29.88,3.6,1.03,2.87,3.32
B,14083,50.81,12.56,29.95,2.99,0.81,3.69,3.35
B,14094,54.08,13.28,25.25,3.1,0.8,4.29,2.98
B,14124,51.9,14.27,24.92,3.85,1.06,5.06,3.02
B,24019,50.33,13.96,29.25,3.42,0.96,3.04,3.31
B,24012,49.69,13.63,29.59,3.41,0.98,3.68,3.36
B,14132,51.12,14.02,27.37,3.71,1.11,3.78,3.18
B,14146,49.77,13.24,28.91,3.59,1.06,4.49,3.31
B,14149,54.96,14.26,22.99,3.19,0.9,4.6,2.82
B,14161,55.11,14.87,21.9,3.29,0.86,4.83,2.76
B,14113,54.12,14.06,24.95,3.14,0.82,3.73,2.96
B,24008,49.34,13.79,29.57,3.52,0.95,3.78,3.36
B,24029,50.65,13.14,28.79,3.73,1.09,3.69,3.26
B,24045,52.46,14.18,24.6,3.57,1.12,5.19,2.99
B,24040,49.96,13.4,28.84,3.48,0.98,4.32,3.3
B,24093,49.57,13.17,29.39,3.59,1.06,4.28,3.35
B,24083,49.34,13.06,29.46,3.51,1.04,4.63,3.36
C,14058,48.4,26.05,21.4,3.44,0.5,0.71,3
C,14022,48.69,28.48,17.37,3.53,0.43,1.93,2.78
C,14036,48.88,25.23,20.89,3.22,0.47,1.78,2.96
C,14093,48.97,25.63,19.28,3.48,0.55,2.64,2.87
C,14080,48.84,23.98,23.37,3,0.52,0.81,3.09
C,14029,49.73,25.65,19.98,2.51,0.52,2.13,2.91
C,14106,50.18,28.3,15.79,3.47,0.45,2.26,2.64
C,14014,48.15,27.98,18.69,3.58,0.48,1.7,2.87
C,14073,49.72,27.31,16.89,3.08,0.25,3,2.73
C,14151,51.59,26.24,16.41,3.61,0.6,2.15,2.61
C,14162,52.26,26.31,14.77,3.51,0.53,3.15,2.51
C,14139,49.35,25.23,20.03,3.02,0.44,2.37,2.91
C,14115,47.91,26.03,21.54,3.71,0.6,0.81,3.01
C,24006,47.83,25.82,20.79,3.33,0.54,2.23,2.99
C,24020,47.9,25.55,21.1,3.04,0.43,2.41,3.02
C,24031,49.1,24.53,21.08,2.84,0.34,2.45,2.98
C,24038,50.04,24.13,19.75,3.21,0.52,2.87,2.86
C,24043,52.19,26,16.64,4.17,0.61,1,2.58
C,24152,47.11,26.17,21.29,3.36,0.48,2.07,3.05
D,14092,46.64,21.38,24.96,4.6,0.77,2.42,3.2
D,14081,45.93,21.6,25.87,4.51,0.73,2.09,3.28
D,14072,47.6,22.07,21.13,4.07,0.72,5.13,2.99
D,14116,47.61,22.44,19.61,4.06,0.6,6.28,2.91
D,14128,46.91,21.79,21.17,4.06,0.76,6.07,3.02
D,14107,46.88,21.71,23.6,4.59,0.75,3.22,3.12
D,14050,47.49,21.75,20.83,4.01,0.67,5.92,2.98
D,14013,48.03,21.96,20.88,4.02,0.7,5.11,2.96
D,14004,49.16,27.99,17.49,3.29,0.39,2.07,2.78
D,14003,47.17,22.29,21.3,4.08,0.74,5.16,3.02
D,14037,47.29,21.48,21.69,4.03,0.67,5.51,3.03
D,14023,47.53,21.11,21.54,4.02,0.7,5.8,3.02
D,14059,47.86,22.25,19.53,4.04,0.68,6.32,2.9
D,14163,48.09,22.65,21.59,5.22,0.93,2.45,2.95
D,14150,47.73,22.38,21.39,5.21,0.99,3.29,2.95
D,14140,48.44,22.73,21.05,5.22,0.98,2.56,2.91
D,24007,47.43,22.13,21.01,4.09,0.72,5.34,2.99
D,24021,47.68,21.84,20.45,4.06,0.71,5.97,2.95
D,24011,48.05,22.05,20.57,4.04,0.7,5.29,2.94
D,24030,48.01,21.31,21.05,4.01,0.73,5.62,2.97
D,34009,47.45,22.37,20.97,4.06,0.7,5.15,2.99
D,24039,47.8,22.36,20.39,4.02,0.7,5.43,2.95
D,24044,48.31,22.49,19.53,4.18,0.62,5.49,2.88
D,34004,46.19,21.19,25.18,4.66,0.8,2.78,3.23
D,24153,48.81,22.43,18.68,4.1,0.72,5.98,2.82
