tau1	tau2	tau3	tau4	p1	p2	p3	p4	g1	g2	g3	g4	stab	stabf
2.959060025	3.079885204	8.381025392	9.780754432	3.763084772	-0.782603631	-1.25739483	-1.723086311	0.650456461	0.859578106	0.887444921	0.958033988	0.055347489	unstable
9.304097235	4.902524112	3.047540728	1.369357355	5.067812104	-1.940058427	-1.872741686	-1.255011992	0.413440568	0.862414076	0.562139051	0.781759911	-0.005957464	stable
8.971706909	8.848428421	3.046478749	1.214518138	3.40515818	-1.207455592	-1.277210147	-0.920492441	0.163041039	0.766688657	0.839444015	0.109853245	0.003470879	unstable
0.716414776	7.669599644	4.486640831	2.340562984	3.963791063	-1.027473304	-1.938944153	-0.997373606	0.446208907	0.976744083	0.929380523	0.362717774	0.028870543	unstable
3.134111552	7.608771616	4.943759302	9.85757327	3.525810817	-1.125530955	-1.845974854	-0.554305008	0.797109526	0.455449947	0.656946658	0.820923486	0.049860373	unstable
6.999208709	9.109246716	3.784065909	4.267787603	4.429668823	-1.857139177	-0.670396827	-1.902132818	0.261792854	0.077929672	0.542883859	0.469931041	-0.017384907	stable
6.710166368	3.765204184	6.929314439	8.818561923	2.397419229	-0.614589562	-1.208825891	-0.574003776	0.177889561	0.39797658	0.402045952	0.376630279	0.005953571	unstable
6.953511558	1.379125002	5.71940003	7.870307426	3.224495158	-0.748997751	-1.186516928	-1.288980478	0.371384853	0.633203555	0.732740894	0.380544479	0.016634297	unstable
4.689851927	4.007747462	1.478572876	3.733787492	4.041299614	-1.410344312	-1.238204276	-1.392751026	0.269708271	0.250364217	0.164941119	0.482439411	-0.038676584	stable
9.841496488	1.413821592	9.769855549	7.641616263	4.727595042	-1.991363368	-0.857637207	-1.878594467	0.376355981	0.544415316	0.792039425	0.116262822	0.012383414	unstable
5.930110118	6.730873374	6.245137901	0.533287513	2.327091593	-0.702501235	-1.11691963	-0.507670728	0.239815633	0.563109594	0.164461028	0.753701356	-0.028411461	stable
